domain,skills_for_domain
Data,"Python, C, C++, Javascript, R, MATLAB, Rust, SQL, Windows, Linux, Langchain, Lamaindex, scikit-learn, Tensorflow/Keras, HuggingFace, OpenCV, NLTK, Spacy, Gensim, Transformers, Flask, Streamlit, BeautifulSoup, numpy, pandas, matplotlib, seaborn, Jupyter Notebook, GitHub, MS Excel, R Code, Twilio, Ngrok, Tableau, Crux Intelligence, Regression Analysis, Time Series Models, Probability and Statistics, Programming and Data Structures, Labs-Theory, Transform Calculus, Linear Algebra, Finite Element Methods, Flight Testing Laboratory, Deep Learning Specialisation, Machine Learning Specialization, Python Bootcamp, Scikit-Image, PyTorch, PyTorch Lightning, LangChain, spaCy, VS Code, Visual Studio, Docker, AWS, Git, Vim, ChromeOS, Pinecone, Scikit-Learn, Algorithms, Calculus, Computer Vision, Reinforcement Learning, Natural Language Processing, Statsmodels, Google Colaboratory, VScode, Microsoft Office (Excel, Word), Canva, Cad, Typescript, MongoDB, ArangoDB, MySQL, Alembic, SQLAlchemy, Selenium, Statistics 110, Java, Scipy, Gradio, Kaggle, Desmos, Wolfram Alpha, Mathematical Statistics, Numerical Solution of Ordinary and Partial Differential Equations, Applied Computational Methods, Combinatorics and Graph Theory, Stochastic Processes and Applications, Advanced Calculus, Differential Geometry, Theory of Computation, Statistics: for Applications, Discrete Mathematics, Sampling Methods"

Finance,"Artificial Intelligence, Corporate Finance, Derivatives, Discounted Cash Flow, Discounted Cash Flow Modeling, Econometric Analysis, Econometrics and Finance, Financial Accounting, Financial Engineering, Financial Institutions and Markets, Financial Markets, Financial Modeling, Investment Analysis, Investment Banking, Jekyll, Keras, Macroeconomics, Market Microstructure, Microsoft Excel, Operations Research, Optimization methods in Finance, Probability and Statistics, Programming and Data Structures, Quantitative Finance, Regression, SQL, Stata, Stochastic Processes, Supply Chain Management, Time Series Analysis, Trading Basics"

Quant,"Python, C++, C, SQL, HTML, CSS, JavaScript, MATLAB, Scilab, R, Perl, Pandas, NumPy, SciPy, Keras, TensorFlow, PyTorch, Seaborn, Matplotlib, SciKit-learn, Microsoft Office, Google Colaboratory, Jupyter, Excel, MySQL, Git/GitHub, Linux, Algorithms, Data Structures, Discrete Structures, Probability and Statistics, Combinatorics and Graph Theory, Numerical Methods, Time Value of Money, Financial Markets, Derivative Pricing, Linear Algebra, Differential Calculus, Integral Calculus, Partial Differential Equations, Numerical Analysis, Mathematical Logic, Stochastic Processes, Optimization, Regression, Random Forest, Machine Learning, Deep Learning, Statistical Inference, Algorithms and Data Structures, Formal Languages and Automata Theory, Probability, Set Theory, Switching Circuits and Logic Design, Signals and Systems, Mathematics, Data Analysis, Data Mining, Financial Analysis, Forecasting, Time Series Analysis, Quantitative Techniques,"

SDE,"C++, C, Python, Java, JavaScript, HTML, CSS, SQL, ReactJS, Node.js, Express.js, Flask, Django, Bootstrap, jQuery, Redux, MySQL, MongoDB, Redis, PostgreSQL, SQLite, Firebase, Oracle, Linux, Unix, Windows, Android, Git, GitHub, VS Code, Sublime Text, Vim, Shell Scripting, MATLAB, Open CV, Scikit-learn, TensorFlow, Keras, PyTorch, NumPy, Pandas, Matplotlib, Seaborn, Algorithms, Data Structures, Operating Systems, Computer Networks, Database Management Systems, Object-Oriented Programming (OOP), Machine Learning, Deep Learning, Web Development (Full-Stack, Front-end, Back-end), Cloud Computing (AWS, Azure, GCP), Version Control, REST APIs, System Design, Compiler Design, Software Engineering, Mobile App Development, Front-end Frameworks (React, Vue, Angular), Testing and Debugging, UI/UX Design Principles, Data Mining, Big Data, Concurrent Programming, Parallel Computing, Agile Methodology, Software Testing"

Core_ECE,"VLSI Design, Digital Logic, Analog Circuits, Digital Electronics, Microelectronics, Semiconductor Devices, RF & Microwave Engineering, Signal Processing, Control Systems, Network Theory, Electrical Technology, Verilog, VHDL, Java, Python, MATLAB, Simulink, LTSPICE, Cadence Virtuoso, Xilinx Vivado, LTSpice XVII, Eagle PCB, Proteus, Altium Designer, LabVIEW, KiCad, Keil Vision, T-SPICE, ADS, Quartus II, Multisim, EasyEDA, PlatformIO, Arduino, Hardware Description Languages (HDL), Microcontrollers (e.g., ESP32, 8051), Operational Amplifiers, Power Electronics, VLSI Fabrication, Digital Communication, Embedded Systems, Communications Systems, Antenna Design, Electromagnetics, Measurements and Instrumentation"

CORE_EE,"Analog Electronics, Digital Electronics, Electrical Machines, Measurement and Electronic Instruments, Electrical Technology, Signals and Systems, Network Theory, Power Systems, Control Systems, VLSI (VHDL, Verilog), Embedded Systems, Microcontrollers (Arduino, ATMega328P), Circuit Design, MATLAB, Simulink, LTSPice, TI-NA, Circuit Maker, Arduino IDE, Tinkercad, FreeCAD, Circuit Simulation, PCB Design, Python, JavaScript, HTML, CSS, Assembly Language, Digital Signal Processing, Communications, Probability and Statistics, Differential Equations, Linear Algebra, Machine Learning (Regression, Classification)"

CORE_IE,"Analog Electronics, Digital Electronics, Electrical Machines, Measurement and Electronic Instruments, Electrical Technology, Signals and Systems, Network Theory, Power Systems, Control Systems, VLSI (VHDL, Verilog), Embedded Systems, Microcontrollers (Arduino, ATMega328P), Circuit Design, MATLAB, Simulink, LTSPice, TI-NA, Circuit Maker, Arduino IDE, Tinkercad, FreeCAD, Circuit Simulation, PCB Design, Python, JavaScript, HTML, CSS, Assembly Language, Digital Signal Processing, Communications, Probability and Statistics, Differential Equations, Linear Algebra, Machine Learning (Regression, Classification)"

CORE_ME,"Fluid Mechanics, Thermodynamics, Heat Transfer, Machine Drawing, Design of Machine Elements, Manufacturing and Welding, Applied Thermodynamics, Computational Fluid Dynamics (CFD), Finite Element Analysis (FEA), Robotics, Kinematics, Dynamics, Vibrational Analysis, Solid Mechanics, OpenFOAM, ANSYS, Solidworks, Blender, Solidedge, LabVIEW, AutoCAD, CAD/CAE Software, Engineering Design, Prototyping, Mechanical Design, Manufacturing Processes, Robotics Operating System (ROS)"

CORE_MF,"Fluid Mechanics, Thermodynamics, Heat Transfer, Machine Drawing, Design of Machine Elements, Manufacturing and Welding, Applied Thermodynamics, Computational Fluid Dynamics (CFD), Finite Element Analysis (FEA), Robotics, Kinematics, Dynamics, Vibrational Analysis, Solid Mechanics, OpenFOAM, ANSYS, Solidworks, Blender, Solidedge, LabVIEW, AutoCAD, CAD/CAE Software, Engineering Design, Prototyping, Mechanical Design, Manufacturing Processes, Robotics Operating System (ROS)"

CORE_CH,"Chemical Reaction Engineering, Process Engineering, Fluid Dynamics, Heat Transfer, Combustion Analysis, Fuels Analysis, Thermodynamics, Mass Transfer, Process Intensification, Process Simulation, Chemical Process Calculations, Computational Fluid Dynamics (CFD), Aspen HYSYS/Plus (or equivalent process simulators), Analytical Techniques, Reactor Design, Chemical Safety, Chemical Kinetics, Process Optimization, Materials Science"

CORE_AE,"ANSYS (Fluent, Mechanical), SolidWork, Simulink, OpenVSP, Nastran, PATRAN, Fusion 360, FreeCAD, GIMP, Blender, SCILab, OpenROV, Gazebo, ROS, Solid Modeling, CFD (Computational Fluid Dynamics), FEA (Finite Element Analysis), Structural Analysis, Aerodynamic Analysis, Optimization, CAD Modeling (2D/3D), Simulation and Testing, Data Analysis (Pandas, NumPy, Scikit-learn), Verification and Validation"

CORE_MT,"Computer Applications in Metallurgical Processes, Material Science, Metallurgical Engineering (Basic Concepts)"

CORE_MI,"Computer Applications in Mining Processes, Material Science,Rock Mechanics, Metallurgical Engineering (Basic Concepts)"

CORE_GG,"Geological Mapping, Sampling, Geological Planning, Exploration, Borehole Drilling, Reserve Estimation, Remote Sensing and GIS, Geo Fry Software, Structural Geology, Field Work, Mineral Targeting, Geophysics, Geochemistry, Trace Element Studies, Petrology, Sedimentology, Sequence Stratigraphy, Paleontology, Applied Mineralogy, Marine Geoscience, Project Management, Groundwater and Environmental Engineering, Basin Analysis, Hand Specimen Identification, Stereonet Representation, Thin Section Identification, Geological and Tectonic Modeling (Structural Frameworks)"

CORE_EX,"Geological Mapping, Sampling, Geological Planning, Exploration, Borehole Drilling, Reserve Estimation, Remote Sensing and GIS, Geo Fry Software, Structural Geology, Field Work, Mineral Targeting, Geophysics, Geochemistry, Trace Element Studies, Petrology, Sedimentology, Sequence Stratigraphy, Paleontology, Applied Mineralogy, Marine Geoscience, Project Management, Groundwater and Environmental Engineering, Basin Analysis, Hand Specimen Identification, Stereonet Representation, Thin Section Identification, Geological and Tectonic Modeling (Structural Frameworks)"

CORE_IM,"Operations Management, Supply Chain Management, Logistics, Forecasting, Quality Control, Inventory Management, Production Scheduling, Statistical Methods (Regression, Probability), Data Analysis, Optimization (Genetic Algorithms, Evolutionary Search, DEAP), Machine Learning (Random Forest, Decision Trees), Industrial Engineering, Applied Statistics, Data Structures and Algorithms, Python, R, SQL, MATLAB, Excel, Tableau, Power BI,ARENA,Quality Design and Control,CPLEX"

CONSULTING,"communication skills, problem solving skills, PORs, analytical skills, project management skills, strategic thinking"
